ID,Title,Year,Conference,Did the paper successfully participate in an artifact evaluation process?,Requirements per platform [Intel],Requirements per platform [AMD],Requirements per platform [ARM],Requirements per platform [Apple],Requirements per platform [NVIDIA],Other requirement?,Environment,"""""Novelty""""",Do they mention their attack potency?,Number of platform evaluated,What benchmark do they provide?,How is it assessed?,Error rate,Comparison to other works,How does it compare to other work?,Is there any obvious threat to the comparison reliability?,Number of configuration evaluated,Is there a protocol (agreement/transmission)? ,"If so, what is it?",Is there an error correction/management described?,"If so, what is used?",Is the code available?,"Is there a minimal documentation (compilation, installation, usage)?",Is there another covert channel evaluation ?,How is it assessed?_duplicated_0,Error rate_duplicated_0,Comparison to other works_duplicated_0,How does it compare to other work?_duplicated_0,Is there any obvious threat to the comparison reliability?_duplicated_0,Number of configuration evaluated_duplicated_0,Is there a protocol (agreement/transmission)? _duplicated_0,"If so, what is it?_duplicated_0",Is there an error correction/management described?_duplicated_0,"If so, what is used?_duplicated_0",Is the code available?_duplicated_0,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_0",Is there another covert channel evaluation ?_duplicated_0,How is it assessed?_duplicated_1,Error rate_duplicated_1,Comparison to other works_duplicated_1,How does it compare to other work?_duplicated_1,Is there any obvious threat to the comparison reliability?_duplicated_1,Number of configuration evaluated_duplicated_1,Is there a protocol (agreement/transmission)? _duplicated_1,"If so, what is it?_duplicated_1",Is there an error correction/management described?_duplicated_1,"If so, what is used?_duplicated_1",Is the code available?_duplicated_1,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_1",What are they attacking?,Is the target version specified?,Are there details on the attack?,How many samples are needed?,Number of platform evaluated_duplicated_0,Comparison to other works_duplicated_2,How does it compare to other work?_duplicated_2,Is the code available?_duplicated_2,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_2",Is there another side channel evaluation ?,What are they attacking?_duplicated_0,Is the target version specified?_duplicated_0,Are there details on the attack?_duplicated_0,How many samples are needed?_duplicated_0,Number of platform evaluated_duplicated_1,Comparison to other works_duplicated_3,How does it compare to other work?_duplicated_3,Is the code available?_duplicated_3,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_3",Is there another side channel evaluation ?_duplicated_0,What are they attacking?_duplicated_1,Is the target version specified?_duplicated_1,Are there details on the attack?_duplicated_1,How many samples are needed?_duplicated_1,Number of platform evaluated_duplicated_2,Comparison to other works_duplicated_4,How does it compare to other work?_duplicated_4,Is the code available?_duplicated_4,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_4",Is there another side channel evaluation ?_duplicated_1,What are they attacking?_duplicated_2,Is the target version specified?_duplicated_2,Are there details on the attack?_duplicated_2,How many samples are needed?_duplicated_2,Number of platform evaluated_duplicated_3,Comparison to other works_duplicated_5,How does it compare to other work?_duplicated_5,Is the code available?_duplicated_5,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_5",Is there another side channel evaluation ?_duplicated_2,What are they attacking?_duplicated_3,Is the target version specified?_duplicated_3,Are there details on the attack?_duplicated_3,How many samples are needed?_duplicated_3,Number of platform evaluated_duplicated_4,Comparison to other works_duplicated_6,How does it compare to other work?_duplicated_6,Is the code available?_duplicated_6,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_6"
grasASLRLinePractical2017,ASLR on the Line: Practical Cache Attacks on the MMU,2017,NDSS,No evaluation for this conference this year,Same CPU;Shared memory,Same CPU;Shared memory,Same CPU;Shared memory,,,,Remote;Browser-based,New primitive,None,10,"Side channel (includes (K)ASLR break, crypto attack, ...)",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,(K)ASLR break,Chrome v50.0  and firefox v46.0.1,"The attacker monitors MMU-induced cache activity during page table walks to determine the exact offset of page-table entries. This information directly leaks bits of the virtual address, therefore  bypassing ASLR.
They use an Evict+Time approach to monitor activity of a specific cache set, without the trouble of generating optimal eviction sets.",Not clear. The full attack takes 150 seconds.,10,3,Compare to the numbers in previous papers,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rauscherCrossCoreInterruptDetection2024,Cross-Core Interrupt Detection: Exploiting User and Virtualized IPIs,2024,CCS,"Evaluation was available, but the paper didn't do/get it",Same CPU;Instruction set extension,,,,,"Intel Xeon Sapphire Rapids or Intel Arrow Lake CPUs, due to dependence on hardware-specific features (User Interrupts and IPI Virtualization)",Local;VM,New primitive,Temporal resolution,1,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate;Noise resilience;Capacity (bandwith considering the error rate),25.3,4,Compare to the numbers in previous papers,Compare to previous paper on different conditions,2,Yes,Synchronization based on timestamps counter (rdtsc). Transmission  divided in fixed-sized windows. One bit sent in each window.,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,(Inter)keystroke recovery,"Ubuntu 22.04, Linux kernel 6.0 by Intel (for support of user IPI)","Detects keyboard interrupts remotely (cross-core) using timing variations in User IPIs. Achieves an F1-score of 97.9% (precision 97.6%, recall 98.2%).
They use moving minimum filter to compensate the noise",Attackers detect keystrokes live,1,3,Compare to the numbers in previous papers,No,,Yes,Fingerprinting,Chrome v121.0,"Identify visited websites based on interrupt timing. They did 2 experiments: a close-world and open-world. For each, they demonstrate the attack in the native cross-core setting, and in the cross-VM setting.
Classification is done with a pre-processing with a short-time Fourier transfrom, and the result is fed to a CNN
F1-score of 91.7% (native closed-world), 89.0% (native open-world), 80.4% (cross-VM closed-world), and 71.0% (cross-VM open-world).","Collection: 200 traces per website explicitly classified + 5000 additional trace for other website (1 per site). Evaluation on this set split in 5 parts, with 5-fold cross validation",1,4,Compare to the numbers in previous papers,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guoLeakyWayConflictBased2022,Leaky Way: A Conflict-Based Cache Covert Channel Bypassing Set Associativity,2022,MICRO,"Evaluation was available, but the paper didn't do/get it",Same CPU,,,,,,Local,New primitive;Improved a building block,Spatial resolution,2,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Error rate;Capacity (bandwith considering the error rate),0.5,1,Authors re-evaluated the attack to compare on the same conditions,,2,Unclear,,No,,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - memory access-based (e.g. AES T-table) - known vulnerability,," They did a Prime+Prefetch+Scope and a Reload+Refresh with PREFETCHNTA attack. For the first, on their Skylake processor, they need 33 cache references (compared to 192 in the original Prime+Scope).
For the second one, Reload+Refresh iteration (without the waiting window) is 1601 cycles on their Skylake processor (and 1767 cycles on the Kaby Lake processor). In contrast, when using standard Prefetch+Refresh, the average latency of an iteration is reduced to 1165 (and 1369) cycles. In their Prefetch+Refresh, the average latency is only 873 (and 1054) cycles.",,2,2,Authors re-evaluated the attack to compare on the same conditions,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jinGhostArbitrationMitigating2024,Ghost Arbitration: Mitigating Interconnect Side-Channel Timing Attacks in GPU,2024,MICRO,"Evaluation was available, but the paper didn't do/get it",,,,,Other,GPU_GPU,Local,New primitive,Spatial resolution,2,"Side channel (includes (K)ASLR break, crypto attack, ...)",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,RSA square and multiply (unknown version),"Throughout the spy kernel execution, the program repeatedly generates requests to a cache line of 128B data in the L2 cache and measures the L2 round-trip latency. All threads within the warp generate requests that are contiguous to ensure that the requests are fully coalesced to minimize self-interference (or interference caused by the spy itself). The spy kernel generates a request (or a new sample) every 300 cycles to ensure that its own request does not create contention with its previous request.
The total number of sample is unknown.",,1,0,,No,No,Yes,Fingerprinting,,"To demonstrate the potential fingerprinting attack, ResNet image classifier was used to identify the different DNN workloads based on the interconnect-gram images. The model was trained across 15 different DNN models from PyTorch and two LLMs from HuggingFace, using 400 training samples (or interconnect-grams) for each DNNs, with each sample consisting of 10,000 data points (or L2 latency samples from the spy kernel). The accuracy of the model was tested using 20 new samples from each of the 17 workloads. Total number of DNNs (and so samples) are unknown.",,1,0,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grussCacheTemplateAttacks2015,Cache Template Attacks: Automating Attacks on Inclusive Last-Level Caches,2015,USENIX Security Symposium,No evaluation for this conference this year,Same CPU,,,,,,Local,Improved a building block,Spatial resolution;Temporal resolution,3,"Side channel (includes (K)ASLR break, crypto attack, ...)",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - memory access-based (e.g. AES T-table) - known vulnerability,OpenSSL v1.0.2,"First round attack, they identify the upper 4bits of each AES key bytes, but do not run the full attack. Chosen plaintext attack",16-160 encryption to recover 64bits of the key,1,3,Compare to the numbers in previous papers,Yes,Yes,Yes,(Inter)keystroke recovery,Linux - libgdk-3.so,"They explain which addresses they monitor, and which keystrokes they can monitor. They also present a more powerful attack with additional attacker assomption (knowledge of the system). 

They report a 0.2-2.5% false positive rate.

They have a ""detection rates near 100%"".

they cannot actively monitor all addresses corresponding to all keys, so they choose the most relevant one. Some memory areas match a set of keys, that cannot be distinguished.",,1,1,Compare to the numbers in previous papers,Yes,Yes,Yes,(Inter)keystroke recovery,comctl32.dll - Windows (7 and 8.1),They mention the addresses to monitor. They mention a single false positive.,,3,0,,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
irazoquiapececheaS$ASharedCache2015,S$A: A Shared Cache Attack that Works Across Cores and Defies VM Sandboxing—and its Application to AES,2015,S&P,No evaluation for this conference this year,Same CPU,,,,,,Local;VM,New primitive,Temporal resolution,1,"Side channel (includes (K)ASLR break, crypto attack, ...)",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - memory access-based (e.g. AES T-table) - known vulnerability,OpenSSL v1.0.1f,"They perform the attack in three different scenarios: native machine, single VM and cross-VM. The attack only needs 150.000 encryptions to succeed on recovering the full AES key in the native OS scenario. Due to the higher noise in the cloud setting, the single VM recovers the full key with 250.000 encryptions</span>. <span style=""color:#fbacac"">The cross-VM scenario was analyzed in two popular hypervisors, Xen and VMware, requiring 650.000 and 500.000 encryptions to recover the 16 key bytes respectively.",1550000 encryptions,4,9,Compare to the numbers in previous papers,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duttaSpyGPUboxCovert2023,Spy in the GPU-box: Covert and Side Channel Attacks on Multi-GPU Systems,2023,ISCA,"Evaluation was available, but the paper didn't do/get it",,,,,Other,GPU_Multi-GPU system (cross GPU attack),Local,Improved a building block,Spatial resolution;Temporal resolution,2,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate;Multiple plateforms;Noise resilience,1.3,7,Compare to the numbers in previous papers,Compare to previous paper on different conditions;Author are clear about the fact that their comparison is not fair: architectures are very different,4,Unclear,,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,Fingerprinting,Six application from the NVidia toolkit. No version specified,They run the six applications and collect memorygrams. They used a per-trained model to classify the memorygrams.,1500 sample per application (9000 total). 150+150 as training and validation set; 1200 as test or control sets.,1,0,,No,,Yes,Deep Learning parameters,,Toy example of extracting model information on a custom made MLP model with 1 hidden layer. The goal is to recover the number of neuron in this layer.,,1,0,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
naghibijouybariConstructingCharacterizingCovert2017,Constructing and Characterizing Covert Channels on GPGPUs,2017,MICRO,No evaluation for this conference this year,,,,,Other,GPU_Same GPGPU,Local,New primitive,Spatial resolution,3,Covert channel,Speed;Error rate;Multiple plateforms;Noise resilience;Capacity (bandwith considering the error rate),0.0,3,,,10,Unclear,"Transmission: The Trojan kernel communicates by creating contention or doing nothing, respectively encoding 1 or 0. To create contention in a given set, the Trojan allocates an array the size of the L1 cache (2 KB) and loads it with a stride of 512 bytes, causing accesses to hash into the same set. The spy loads a 2 KB array with the same stride as the Trojan while timing the access. A high latency indicates a 1, since the array was replaced by the Trojan. A low latency indicates a 0. ",Yes,"They manipulated the block scheduler to achieve exclusive co-location of the spy and the Trojan at SM or full GPGPU level.
If exclusive co-location to prevent noise was not possible, noise could be avoided or tolerated using techniques such as dynamically identifying idle resources or performing error correction. However, this was not the case here.",No,No,Yes,Speed;Multiple plateforms;Noise resilience,,3,,,9,Unclear,Transmission: The Trojan generates operations to the target functional unit to create contention when it wants to communicate a 1. It stays idle when it wants to communicate a 0.,Yes,"They manipulated the block scheduler to achieve exclusive co-location of the spy and the Trojan at SM or full GPGPU level.
If exclusive co-location to prevent noise was not possible, noise could be avoided or tolerated using techniques such as dynamically identifying idle resources or performing error correction. However, this was not the case here.",No,No,Yes,Speed,,3,,,9,Yes,Transmission: The Trojan generates operations to the Global Memory (3 possible scenarios) unit to create contention when it wants to communicate a 1. It stays idle when it wants to communicate a 0.,No,,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mauriceHelloOtherSide2017,Hello from the Other Side: SSH over Robust Cache Covert Channels in the Cloud,2017,NDSS,No evaluation for this conference this year,Same CPU,,,,,,Local;VM,Improved a building block,Spatial resolution,4,Covert channel,Speed;Error rate;Multiple plateforms;Noise resilience,0.0,7,Compare to the numbers in previous papers,,10,Yes,"The agreement is that both the sender and the receiver perform the same procedure to build eviction sets and ensure that they both target the same set in the same slice.
They use the jamming agreement to identify the two instances residing on the same CPU in the cloud environment.

Then, for transmission, each packet—which are chunks of the same size that are subsequently enhanced with error correction—is divided into words small enough to be easily transmitted between scheduling.",Yes,"They use a simple request-to-send scheme that also serves as an acknowledgment.
Each word contains a three-bit sequence number to prevent desynchronization at the low level. Then, they apply Hadamard codes to make the scheme robust against substitution errors. Finally, they use Berger codes to detect insertion errors.",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orenSpySandboxPractical2015,The Spy in the Sandbox: Practical Cache Attacks in JavaScript and their Implications,2015,CCS,No evaluation for this conference this year,Same CPU,,,,,,Local;Browser-based;VM,New primitive,Spatial resolution,3,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed,,1,Compare to the numbers in previous papers,,2,No,,No,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,Other_Classifier-based attack on mouse movements and network,Top 10 sites on the web (according to Alexa ranking of May 2015),They collected a total of 90 memorygrams for 8 out of the top 10 sites on the web.,,2,0,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ahnNetworkonChipMicroarchitecturebasedCovert2021,Network-on-Chip Microarchitecture-based Covert Channel in GPUs,2021,MICRO,"Evaluation was available, but the paper didn't do/get it",,,,,Other,GPU_GPU,Local,Improved a building block,Spatial resolution,4,Covert channel,Speed;Error rate;Capacity (bandwith considering the error rate),0.0,6,,,2,Yes,"Their proposed interconnect covert channel communication is based on a timing slot where a bit is sent every T cycles and T is agreed upon between the sender and the receiver. Based on the L2 latency of the GPU architecture, the Threshold value is determined empirically. During each time slot, the receiver sends a memory request (with a single warp) to L2 cache; the sender does nothing when communicating a ‘0’ and sends write requests to L2 cache when communicating a ‘1.’",No,,No,No,Yes,Speed;Error rate;Capacity (bandwith considering the error rate),3.0,6,,,2,Unclear,,No,,No,No,No,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frigoGrandPwningUnit2018,Grand Pwning Unit: Accelerating Microarchitectural Attacks with the GPU,2018,S&P,No evaluation for this conference this year,,,,,Same CPU;Other,iGPU_integrated GPU,Browser-based,Improved a building block,Spatial resolution,3,"Side channel (includes (K)ASLR break, crypto attack, ...);Rowhammer",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,Other_Leak the state of physical memeory (detect contiguous memory allocation),,"This attack is clearly a building block to Rowhammer.
First, they build eviction sets to bypass the two level of caches, and access the DRAM.
Then, they leverage the behavior of the buddy allocator to allocate contiguous memory.
Finally, they use the time distinction between row hits, and row conflicts to learn about the order of allocations.",,1,0,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schaikMaliciousManagementUnit2018,Malicious Management Unit: Why Stopping Cache Attacks in Software is Harder Than You Think,2018,USENIX Security Symposium,No evaluation for this conference this year,Same CPU,Same CPU,Same CPU,,,,VM,Improved a building block,Spatial resolution;Temporal resolution,10,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Noise resilience,,3,Authors re-evaluated the attack to compare on the same conditions,,8,Yes,"Transmission: The receiver mounts one of the cache attacks to monitor specific cache lines, while the sender accesses the cache line to transmit a one and does nothing to send a zero otherwise. In order to receive acknowledgements for each word sent, the sender monitors a different set of cache lines. For their implementation, they built a bidirectional channel that is able to transfer 19-bit words at a time. 
Agreement: To synchronize both the sender and the receiver, they dedicated 6 bits of the 19-bit word to sequence numbers.",Yes,"First, they used 4-bit Berger codes to detect simple errors and to prevent zero from being a legal value in their protocol.

Then they did this the following techniques:
# Translation Caches:
1. Only flush the TLB (not the entire translation caches) to preserve useful cached entries.
2. Optimize page accesses to load only lower-level page tables into the Last-Level Cache (LLC).
3. Access pages in a sequential order to reduce unnecessary 2 MiB region accesses and maintain TLB effectiveness.
# Pointer Chasing:
1. Prevent hardware prefetching by using shuffled or pointer-chased access patterns (linked lists across cache lines).
2. Disable adaptive cache replacement noise by repeated forward and backward access to the eviction set.
# Re-using Physical Pages:
1. Use page coloring and address alignment to isolate eviction effects to page table entries (PTEs) only.
2. Preferred method: map one physical page to many page tables, so only page tables (not actual data pages) affect the cache set.
# Transactions (XLATE + ABORT):
1. Use Intel TSX to detect cache conflicts during hardware transactions.
2. Measure conflict events to determine if the target set was evicted, indicating activity by the victim.",Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - memory access-based (e.g. AES T-table) - known vulnerability,OpenSSL v1.0.1e,"They explain the first round of the AES algorithm and how an attacker can derive the four upper bits for each byte in secret k by extending this attack to cover all 16 cache lines of the T-table. This reveals 64 bits of the secret key k, which is sufficient to compare XLATE against state-of-the-art cache attacks. They performed 16,000,000 encryption operations for each cache line of Te0.",256000000 encryptions,1,4,Authors re-evaluated the attack to compare on the same conditions,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bulckTellingYourSecrets2017,Telling Your Secrets Without Page Faults: Stealthy Page Table-Based Attacks on Enclaved Execution,2017,USENIX Security Symposium,No evaluation for this conference this year,Same thread;Other,,,,,TEE_CPU with SGX + full control over privileged system software including the operating system and hypervisor.,SGX,Improved a building block,None,1,"Side channel (includes (K)ASLR break, crypto attack, ...);Provide a microbenchmarks to quantifiy IPI (Inter-Processor Interrupt) latency ",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,Libgcrypt v1.6.3 and v1.7.5,"They needed 40,000 IPIs for the A/D attack on Libgcrypt v1.7.5 and 60,000 for Libgcrypt v1.6.3. Additionally, the cache-based attack interrupts the victim enclave approximately 130,000 times during a single start-to-end run of Libgcrypt v1.7.5.",230000 IPIs,1,0,,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yaoAreCoherenceProtocol2018,Are Coherence Protocol States Vulnerable to Information Leakage?,2018,HPCA,No evaluation for this conference this year,Same CPU;Shared memory,,,,,,Local;Remote,New primitive,Spatial resolution;Temporal resolution,1,Covert channel,Speed;Error rate;Noise resilience;Raw Bit Accuracy considering the Bit Rate,10.0,0,,,6,Yes,"Agreement: Synchronization is considered complete when the trojan observes a series of long latencies because of having to load data from memory, and when the spy notices a sequence of latencies eventually converging to a stable band of values.

Transmission: The trojan and spy pick a (location, coherence state) combination pair to modulate timing and communicate bits (1 or 0), and another distinct (location, coherence state) combination pair to delineate bit transmission boundaries (i.e., to say that a bit transmission has ended and another will start at the end of boundary). Then it is the same principe as multiple Flush + Reload.",Yes,"They implement their own error encoding and retransmission protocol: For each packet (64 bytes), 16 parity bits are added to catch any bit flips within 4 Byte chunks. After each packet transmission, the spy checks for parity bits and if errors are detected, it will request for packet resend by covertly transmitting NACK bit. This is achieved by reversing the roles of spy as the transmitter and trojan as the receiver just for transmitting the NACK bit. This process is repeated until successful receipt of the packet. ",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haj-yahyaIChannelsExploitingCurrent2021,IChannels: Exploiting Current Management Mechanisms to Create Covert Channels in Modern Processors,2021,ISCA,No evaluation for this conference this year,Same CPU;Same core;Same thread,,,,,,Local,New primitive,Spatial resolution,2,Covert channel,Speed;Error rate,2.0,1,Compare to the numbers in previous papers,,2,Yes,"The IccThreadCovert covert channel communicates between a Sender and a Receiver running on the same hardware thread. The Sender encodes 2 secret bits, choosing a type of power-hungry instruction (PHI) from 4 intensity levels (L1-L4). Each level triggers an IPC (Instructions Per Cycle) throttling of varying duration, depending on the power required.

During this throttling, the Receiver executes a fixed loop (512b_Heavy) and measures how long it is slowed down (throttling period, TP). This TP varies according to the intensity of the PHI executed by the Sender, allowing the 2 transmitted bits to be decoded.

A pause of 650 µs (reset-time) is required between two transmissions, to allow the core voltage to return to baseline, otherwise the reading would be distorted by the hysteresis of the CPU voltage manager.",Yes,"Described but not applied.

- An attacker can send the secret value many times and the Receiver can average the received value over a large number of measurements to obtain the secret value with an acceptable error rate.
- Use error detection and correction codes.
- The Sender/Receiver can initiate a communication transaction only during low-noise periods.",No,No,Yes,Speed;Error rate,2.0,3,Compare to the numbers in previous papers,,1,Yes,"The IccSMTcovert channel enables the Sender and Receiver, located on two SMT threads of the same physical core, to communicate via throttling side effects. The Sender encodes two secret bits by executing a PHI loop with an intensity (L1-L4) corresponding to the bits to be transmitted. This causes a global slowdown of the core, affecting both SMT threads: their IPC drops to 1/4 of the normal value.

The Receiver executes a simple loop (64b_loop) and measures its throttling period (TP), which depends on the power of the PHI executed by the Sender. By analyzing this period, it can decode the two bits transmitted.

As with IccThreadCovert, a waiting time of 650 µs is required between two transmissions for the core voltage to return to its base level.",Yes,"Described but not applied.

- An attacker can send the secret value many times and the Receiver can average the received value over a large number of measurements to obtain the secret value with an acceptable error rate.
- Use error detection and correction codes.
- The Sender/Receiver can initiate a communication transaction only during low-noise periods.",No,No,Yes,Speed;Error rate,2.0,3,Compare to the numbers in previous papers,,2,Yes,"The IccCoresCovert channel enables the Sender and Receiver, running on two different physical cores, to communicate by exploiting the latency of voltage transitions caused by PHI instructions. The Sender encodes two bits by executing a PHI loop with an intensity (L1-L4) corresponding to the bits to be transmitted, which triggers a voltage increase on its core.

The Receiver also executes a PHI loop (128b_Heavy_loop), but is throttled waiting for the Sender's voltage rise to finish, as the regulator only handles one change at a time. The throttling period (TP), measured by the Receiver via rdtsc, depends on the PHI intensity of the Sender, allowing the two transmitted bits to be decoded.

Prior synchronization is required between the two threads to ensure that the transitions overlap correctly.",Yes,"Described but not applied.

- An attacker can send the secret value many times and the Receiver can average the received value over a large number of measurements to obtain the secret value with an acceptable error rate.
- Use error detection and correction codes.
- The Sender/Receiver can initiate a communication transaction only during low-noise periods.",No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vilaTheoryPracticeFinding2019,Theory and Practice of Finding Eviction Sets,2019,S&P,No evaluation for this conference this year,Same CPU,,,,,,Local,Improved a building block,None,2,Benchmark of minimal eviction set finding,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kimUCCheckCharacterizing,UC-Check: Characterizing Micro-operation Caches in x86 Processors and Implications in Security and Performance,2021,MICRO,"Evaluation was available, but the paper didn't do/get it",Same core;Same thread;Shared memory,Same core,,,,,Local,New primitive,None,6,"Side channel (includes (K)ASLR break, crypto attack, ...)",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,Toy example / Microbenchmark,,"The toy example is based on the square-and-multiply implementation of modular exponentiation, with a Prime+Probe style attack allowing to find a secret value. No number of samples is given, though from their figure it *seems* that one  trace suffice for their toy example.",,6,0,,Yes,Yes,Yes,Toy example / Microbenchmark,,"The toy example reproduces the classic Spectre attack from Paul Kocher's litmus test. Authors benchmarked it on 6 different CPUs, recording the attack throughput and accuracy.",,6,0,,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
briongosRELOAD+REFRESHAbusingCache2020,RELOAD+REFRESH: Abusing Cache Replacement Policies to Perform Stealthy Cache Attacks,2020,USENIX Security Symposium,Yes,Same CPU,,,,,,Local,New primitive,Temporal resolution,10,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate;Noise resilience;Stealth,,2,Authors re-evaluated the attack to compare on the same conditions,,1,Yes,"Minimal protocol: sender accesses a memory location to transmit 1, no access to transmit 0. A fixed period of time between bit sent. No synchronization between sender and receiver.",No,,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - memory access-based (e.g. AES T-table) - known vulnerability,OpenSSL v1.0.1f,"Classical last round attack on the T-table implementation.
They repeated the experiment 1000 times",3800 to reach F-Score of 0.98,1,2,Authors re-evaluated the attack to compare on the same conditions,No,No,Yes,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,Libgcrypt v1.5.0,"Same attack as Flush+Reload paper on the square and multiply on RSA-2048. They only monitor the multiply operations.
They reach 96.1% accuracy, and 0.952 F-Score",1000,2,2,Authors re-evaluated the attack to compare on the same conditions,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tanInvisibleProbeTiming2021,Invisible Probe: Timing Attacks with PCIe Congestion Side-channel,2021,S&P,No evaluation for this conference this year,,,,,Other,GPU_Same GPU and shared PCIe (Peripheral Component Interconnect Express) hierarchy (RDMA NIC or NVMe SSD),Local;Remote;VM,New primitive,Temporal resolution,1,"Side channel (includes (K)ASLR break, crypto attack, ...)",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,(Inter)keystroke recovery,Gedit and Google Chrome (version 79.0.3945.88) and remote desktop software TigerVNC 1.7.0,"The result shows all events can be identified at the right time, resulting in 0% False negative rate (FNR) and False positive rate (FPR). However, without removing the blinking caret, some of the detected keystrokes are false positives, resulting in 5.88% FPR (30 caret blinkings). After removing the carets, they found FPR drops to 1.03% (5 carets recognized as keystrokes), but FNR is still 0%. ",40 000 keystrokes interval (40 * 100 pair of letters),1,1,Compare to the numbers in previous papers,Yes,Yes,Yes,Fingerprinting,Alexa top 100 websites,They tried also the webpage inference with NVMe SSD on the Alibaba cloud.,15 000 delay sequence,3,0,,Yes,Yes,Yes,Deep Learning parameters,,"They choose ten popular machine-learning models (8 DNN and 2 simple models) and collect their delay sequences for evaluation. Each model is trained for 100 iterations and each iteration uses 64 images from MNIST in a batch. In total 1,000 sequences are collected, and the adversary’s goal is to learn which model it corresponds to.",1000 sequences,1,0,,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
